701; Schönweiss Ulrich; Rechtsanwalt, Stadtratsmitglied; 1963; 
Schönweiss Ulrich; Rechtsanwalt, Stadtratsmitglied; 1963;
702; Wagegg Bettina; Medizinisch-Technische Röntgenassistentin; 1977; 
Wagegg Bettina; Medizinisch-Technische Röntgenassistentin; 1977;
703; Haupt Niklas; Bildungsreferent; 1986; 
Haupt Niklas; Bildungsreferent; 1986;
704; Salomon Anna-Lena; Diplom-Sozialpädagogin; 1983; 
Salomon Anna-Lena; Diplom-Sozialpädagogin; 1983;
705; Lindner Fabian; Student; 1992; 
Lindner Fabian; Student; 1992;
706; Brenner Ruth; Förderlehrerin; 1959; 
Brenner Ruth; Förderlehrerin; 1959;
707; Baran Jürgen; arbeitssuchend; 1960; 
Baran Jürgen; arbeitssuchend; 1960;
708; Pastille Michelle; Studentin; 1998; 
Pastille Michelle; Studentin; 1998;
709; Bonnermann Jens; Informatiker; 1970; 
Bonnermann Jens; Informatiker; 1970;
710; Schleser Regina; Gewerkschaftssekretärin; 1962; 
Schleser Regina; Gewerkschaftssekretärin; 1962;
711; Sommer Wastl; Programmierer; 1970; 
Sommer Wastl; Programmierer; 1970;
712; Meral Derya; Kindergärtnerin; 1979; 
Meral Derya; Kindergärtnerin; 1979;
713; Ziegler Ernst; Altenpfleger; 1953; 
Ziegler Ernst; Altenpfleger; 1953;
714; Heike Anny; Betriebswirtin; 1948; 
Heike Anny; Betriebswirtin; 1948;
715; Kristuf Rainer; Asylsozialbetreuer; 1961; 
Kristuf Rainer; Asylsozialbetreuer; 1961;
716; Denk Marion; arbeitssuchend; 1963; 
Denk Marion; arbeitssuchend; 1963;
717; Distler Alexander; Student; 1991;
718; Kolb Rosemarie; Sozialarbeiterin i.R.; 1947;
719; Renieris Simon; Student; 1993;
720; Stoll Marlen; Erzieherin; 1991;
721; Bahr Marcus; Koch; 1974;
722; Lender Tanja; Sozialpädagogin; 1990;
723; Roscher Ferdinand; selbständiger Musiker; 1982;
724; Roth Sabine; Buchhändlerin; 1965;
725; Borchert Carsten; Maurer, Schöffe; 1962;
726; Hacker Jasmin; Heilpädagogin; 1976;
727; Reichenbecher Anton; Student; 1999;
728; Köhler-Stoll Jonas; Student der sozialen Arbeit; 1990;
729; Bruckmann Uwe; Rentner; 1962;
730; Händel Thomas; Elektromechaniker; 1953;
731; Reichel Stefan; Krankenpfleger; 1978;
732; Jung Sebastian; Gewerkschaftssekretär; 1987;
733; Szabó István; Karosseriebaumeister; 1952;
734; Hübner Karl; Bühnenbauer; 1957;
